date;employee_title;employee_status;review_title;pros;cons
2021-07-25;Anonymous;Current Employee;Drilling Engineer;"Work life balance Fridays off Rotational schedule Benefits Good company Networking
";"Stress Schedule Management Oil and gas life Pay Salary Mobility
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-09;Drilling Engineer;Current Employee, more than 5 years;Chevron;"Good culture and working environment
";"Highly influenced by oil price
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;IT Manager;Current Employee;Decent company with decent benefits;"Great benefits and compensation can’t complain
";"Too many processes, hard to get things done
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;Project Coordinator;Current Employee, less than 1 year;Great company;"Nothing to say. It’s Great
";"Not bad. Great company to work for
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-09;Project Manager;Current Employee;Chevron Benefits;"9-80 schedule Hybrid schedule(Monday and Friday work from home) 8 weeks bonding 40 hrs family care 8%401k match
";"2 weeks starting vacation for new hires
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-23;Air Manager;Former Employee, more than 10 years;Great compensation, but unconscious bias still very much a thing.;"Excellent compensation, job rotation every 3-4 years.
";"Even though the tools are in place for unbiased performance evaluations, unconscious bias still plays a big role in job selections.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;Human Resources;Current Employee, more than 1 year;Great Company!!;"Compensation, benefits, people, development opportunities, global
";"Work life balance Risky Industry
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-08;Cashier;Former Employee, less than 1 year;good;"everything that is resnabol to be good
";"nothing much not a lot of fun
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Operations Manager;Current Employee;Dependent on contractors to do the work rather than employees.;"Open work place. Large institution
";"Treat contractors very differently to employees.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-22;Engineer;Former Employee, more than 8 years;Facilities Engineer;"Chevron had very good pay and benefits. Coworkers were good to work with.
";"They tended to move people around a lot. Fun when you are young, but it gets old.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-06;IT Team Leader;Former Employee, more than 10 years;Chevron IT;"Great place for growth and being challenged to stretch your abilities and learn new skills. Treated like an adult with work schedules, time management and job responsibilities
";"Every three to five years there is a change in direction/strategy that can be very disruptive.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-07;GIS Analyst;Current Employee;Best place ever;"Amazing workplace for someone in my profession
";"Still not in person post covid, I miss people
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-20;Vice President;Former Employee;Good Employer;"Empowered environment, profit sharing compensation plan
";"Operations Processes can be very bureaucratic and cumbersome
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-21;Category Specialist;Current Employee;.;"consistent pay and work environment
";"working your way up isnt based on merit. more so about who you know more than other companies i have worked for
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
